temp,sex,mass,mmr,smr
10,male,23.17,139.894733,18.1352469
10,male,26.34,163.427133,32.8564446
10,male,25.03,72.206418,31.6132351
10,male,20.67,169.734615,53.3811384
10,female,14.07,99.2793234,11.6089255
10,female,19.48,88.2045765,25.11817
10,female,32.56,57.6787904,23.6432871
10,female,17.76,163.826613,27.1805536
10,female,9.58,89.762982,9.58301053
10,female,16.66,88.7904408,21.8520345
10,female,19.81,123.223868,14.3062392
10,female,25.95,155.954175,52.7428262
13,male,17.88,,
13,male,13.99,72.7875042,27.274724
13,male,13.12,109.131616,36.8027734
13,male,16.2,159.650434,32.8381711
13,female,19.5,149.088569,35.3828548
13,female,22.41,118.832131,54.55587
13,female,21.38,,
13,female,8.9,123.713389,34.8941333
13,female,25.88,131.569462,31.0162337
13,female,23.23,123.638829,42.004756
13,female,12.64,147.621654,27.8353327
13,female,16.01,170.250505,71.2905789
16,female,23.68,132.197347,95.1669975
16,female,15.9,189.905849,68.4900418
16,female,14.22,271.435504,112.884506
16,female,25.69,217.940885,65.7091267
16,female,14.91,188.933317,81.8255852
16,female,10.95,222.227907,129.425316
16,female,26.02,250.859793,84.1558559
16,female,24,183.692084,78.1505932
16,male,16.83,139.589671,56.7634217
16,male,31.32,201.72908,52.0974481
16,male,15.13,157.344538,75.1478588
16,male,16.06,145.211947,94.1667292
19,female,21.3,275.453022,102.608268
19,female,13.06,204.229039,80.2105018
19,female,19.15,284.955404,174.912422
19,female,24.59,250.058379,97.2266798
19,female,13.3,267.36092,109.230525
19,female,23.23,192.887233,99.509722
19,female,21.27,255.78018,85.5558452
19,male,22.85,258.902244,92.8994667
19,male,12.01,277.506406,92.1336782
19,male,21.5,180.471413,91.9539619
19,male,12.87,219.453211,145.244
19,male,26.58,207.722662,78.5313565
